Comment,Likes,Dislikes
Is raut even a leader? Looks uneducated.,3,0
BJP will never allow junior party dictating terms..,3,2
"Coalition Dharma of MMS type? To loot more for your party you need the coalition of congress & NCP, but not with BJP :=)",3,1
"Wonder why comments are one sided. Is SS reading them, there might be underlying emotion not to be missed.",3,0
Pl form govt before due date without further dilly dally.( coopetating wth BJP),3,0
"Let SS mend its ways & behave sensibly. They can''t be playing with emotions of marathia manoos & keep talking with National Corrupt Parties, looters & other traitors. Avaricious attitude will not only kill them but also endanger their well wishers. Let them talk sense & align with masses will without committing suicide.",3,0
This is how it feels when you have bone stuck in your throat. It can neither be swallowed nor can be spit out. Anyone who has experienced costipation would understand Shiv Sena''s position. You want the release so badly but it would just refuse to happen. LOL!!,3,0
"This man should just shut..
He himself is not fixed on one point.
संजय राउतला चाणक्य म्हणणे म्हणजे चायनीजच्या गाडीवरच्या पोराला ब्रूस लि म्हणल्या सारखेच आहे 😆😆😆",3,0
"Shivasena was not alone in the alliance, there were smaller parties as well, Ramdas Athawale enlightened Shivasena, that in the coalition they are also partners, their voice must also be heard.",3,0
"Every time this guy Raut opens his mouth, he does more damage to credibility of SS..Soon he will be dumped for good.",3,0
"The twists and turns, get more interesting by the minute. SS now spouting dharma, they use the word so loosely. I am reasonably certain, this will be the last time for this alliance. With hindsight, the terms should have been chalked out prior to confirmation.",3,0
"These are sign of sinking ShivSena !!!

This party will vanish very soon",3,0
Punjabi proverb: Yarkao Yarkao Na Yarke te Yarak Jao ! Rough translation: Try to scare if he doesn’t get scared then you put your tail down and get scared!,3,0
this massager of dhakreys has no place to go now.... Pawar has blackened raut''s face ....,3,0
संजय झा(Too) और संजय निरुपम का कुल योग संजय राऊत है!!,3,0
"BJP got absolute majority in center. It does not need coalition partners in the center to form government, yet BJP gave you minisiterial seat in the center. SS is thankless party. If it does not agree to CM from BJP it should vacate central ministry.",3,1
Aaa gaya apni aukat pe ....,3,0
BJP should teach this Gunda Shivsena a tight lesson now!,3,0
"SS seats in last four elections - 2004-62, 2009-45, 2014-65, 2019 -56. On what ground they are demanding CM seat. It''s BJP which has more than double seats than SS in last two election. So, SS''s demand is completely illogical.",3,0
Ss and all regional parties know their days are numbered,3,0
Coalition Dharma ?? What an a******,3,0
dis person is a mad cow.. he wll drown himself and sena also.. shud b removed from sena immediately,3,0
Aab wakht aa gaya hai BJP jaago aur opposition main baith kar mazee dekho kuch dino ki hi toh baat hai,3,0
"Sena and Sanjay should be master of eating crow. They are Masters at this.
They will throw all available dirt at everyone and ultimately stoop to any level to have power under their bums",3,0
Ujada Chaman!,3,1
"Nuts...SS shouldn''t be considered as an ally anymore...It would have been prudent if Fadnavis had decided to fight out the elections alone without seat sharing alliance and he could have won more seats to command the majority...It is one of the greatest blunder by BJP to ally with these snakes who is back-stabbing now and will continue to....May be a better choice for Fadnavis to sit back and wait for the collapse of the traitors to fall back and then seek fresh mandate, instead of trying to co ... Read More",3,0
these idiots called Sena needs to be shown their place.,2,0
Perfect pimps making good money,2,0
it was a blunder by bjp to take shivsena with them. They don't have numbers but have very big 👄,2,0
"This is Sena'' everyone turmoil , henceforth they shld be clear cos they r wasting people''s vote ...... People want BJP thus they got vote n now if Sena plays trick , they will be gone soon , Bala Saheb was different",2,0
Shive sena party of jokers.. BJP party of raaaaaaaascals,2,4
Vinasha kale viparita buddhi. Sena will sink if they ignore the mandate of the people they won with BJP as their coalition partner. Any deviation from that will be suicidal for Sena. Sooner they realise is better for them,2,0
"BJP should never ever dump shivsena just for the sake of power. BJP should share chief ministership with shiv sena. Shiv sena supports bjp, and allies should never separate themselves but instead stay united. Shiv sena is justified. I hope bjp agrees to their demands and coalition stays and wins forever",2,6
does have only mouth ... nothing else .. above shoulders.,2,0
For political fun Shiv Sena must come to power with help NCP/Congress Party so that we will see more fun in News Media. Shiv sen then will not dare to Congress/NCP as they are God for SS and will not mind to catch their feets.Further Udhav Thackeray will go to Baramati to meet Pawar and for Rahul/Sonia Gandhi he will go Delhi as unlike Amit Shah who used to come to Matosree to meet Udhavji. Here after no one will come and meet Udhav Thackeray.Fuerther this Govt will survive one year then NCP/C ... Read More,2,1
It is not softening its stand. SS is realizing the futility of its uncalled for demands and threats. Modi ji and Amit Shah are never going to yield to the extortion racket.,2,0
"Sena, please please dont make it as your ego. Please look at the nation building efforts happening under Modiji.
Please dont play in anti-india congress hand. We have seen light after 70 years. Please dont spoil it. Think of as Hindus reuesting a Hindu party.",2,0
"raut is NCP congress person and has been bribed in tons to finish sena, and udhav is immature...so will be finished soon.",2,0
Comical comments from an immature party callwd SS founded on dadagiri and corruption,2,0
"why aditya wants to be cm . first time you have won election
and you work first for the people . and win their hearts . then u become cm . dont be a king without winning a single war",2,1
"Whatever the credentials or capabilities of young Aditya, dis watermouth is simply spoiling his entry into politics. Really hope they dont turn him into puppoo. Wish well for Aditya",2,0
it's 50:50. means partially mental,2,0
Gana me dum hai par ham kisise kam hai ka..... ha ha ha.....,2,0
Udhav is showing absolute lack of political morality. This is not the sign of a leader with strategic vision,2,0
IT IS A HIGH TIME SHIV SENA SHOULD TEACH BJP A LESSON. BJP THINKS THEY ARE THE BOSS AND WILL DICTATE EVERY ONE.,2,10
Now come back crawling after three days of wishful thinking and loose talks.SS only loses its dignity and respect,2,0
Cong must support Sena to form a govt.,2,6
Presidential rule must be imposed in maharashtra .,2,2
Congress and NCP should stay away from this game and sit only in the opposition. Let BJP and SS play this game. The anti-BJP swing in vidarbha must be a great message for the opposition. Work on this by sitting in the opposition but don''t form government with SS.,2,0
Shiv Sena is getting more confused as the time progresses. It should come to a conclusion - either here or there...No point of hanging further and wasting time. It should now realize that BJP does not let the CM position go.,2,0
Congress and NCP are very old parties. They can play better as opposition parties. SS better go with BJP as per the verdict.,2,0
"Raut n The tKereys should be kicked on the back.
back stabbed.mota bhai will deal a blow.",2,0
"SS has lost its credibility after it has become clear that, they are not for Maharashtra or Mumbai, but only and only for Power politics. They cannot explain to the public why they deserve the CM's post...",2,0
Shiv sena knows fully well that public who voted for sena bjp alliance will be very angry with them and they will be taught a lesson if at all they join hands with NCP and Congress. That is the reason Mr. Raut is softening his stand.,2,0
"Though absolute number of bjp shows reduction but bjp has higher seat, higher vote share & strike rate. One should not forget last time bjp had contested 260 seats winning 122 & this time they contested only 150 winning 105. If sena demands cm post ppl can only call uddav a modern dhritarashtra only difference was dhritarshtra was blind. In last election when both had fought separately bjp had got 122 seats while sena had won just 62 seats. Same trend has been reaffirmed in this election ... Read More",2,0
", BJP should not form Government with Shiv Sena as it''''s All ..
clearly SS is power h",2,0
A new comedian has emerged on the political scene. Enjoy free entertainment till BJP gets separated from SS.,2,0
"Now, BJP should not form Government with Shiv Sena as it''s Ally. How desperate they are to be in power is evident from the fact that they have no scruples to reach out to NCP and Congress for support. Even when in coalition, they never supported Government at crucial times. Instead they spoke all sorts of nonsense against BJP leadership. Backstabbing appears to be their style of functioning. Let them run from pillar to post. Let them form the government with Congress -NCP and have the taste ... Read More",2,0
he is not dependable dog.,2,0
"Coalition Dharma? You go the press at drop off hat and use your mouth piece, Samna! Now eating some humble pie.",2,0
"Raut defines the ""U"" turn of the day, session, minute and moment.
Congress and NCP must be watching with amusement.
From 2nd to 8th November the coalition dharma talk will have many more twists and turns! The loyalty expressed towards Aditya will accordingly change tunes too!
Regards
Prabhakar",2,0
SS must join Congress to support ISLAMIC STATE OF MAHARASHTRA,2,0
Highly likely that Sena will split and merge in BJP before assembly is formed..,2,0
Secular parties like Shiv Sena should join with Congress and support an Secular Islamic state for Maharashtra,2,2
"he changes statement every day
i think he is changing his dharma too every day",2,0
Basically Shiv Sena lacks wisdom and it thinks with muscle power it can pressurized BJP. It has only 56 MLAs but it talks like having 150 MLAs. It wants to become Kumar Swami of Karnataka who used blackmail Congress Party.Udhav Tackhray must know what he he gets respect from BJP it may get with NCP and Congress Party he has to come to Balamati or residence of Sharad Pawar at aMumbai and not SP will come to meet him Matoshree as done by Amit shah.,2,0
BJP should have only one condition now for alliance with SS. This joker called Raut should be removed from the party.,2,0
mumbaikers are fear grippen to express their mind on this plateform out of DADA GIRI off SS GOONS.,2,0
What Dharma he is talking about - Sanatana Dharma or goonda A-dharma. Shameless person contzcted all corrupted leaders of other parties but did not get all his demands fully and now talking of dharma when all adharmas got failed. Never give SS 50.50 and never make the thief family man deputy CM. Conditions put forth by BJP should be accepted by SS as they were the cause for BJP to loose many seats,2,0
"there's race between raj and raut ,who talks more dirtiest actions and words,",2,0
"In coalition dharma, you dont criticize your main partner in the government where you are a part. Mr Raut does not criticize Shiv Sena members but find convenient to pull the PM.",2,0
"S S is blackmailing
BJP should not try to form Government
let all others unite and form Congress will pull it down anytime and they are masters in that
let there be midterm elections and people will show SS the door and full majority to BJP",2,0
"BJP should not have gotten into this alliance. It should now allow the Sena to form a government, stay neutral and watch the fun",2,0
bar show in circus.Nowadays circus is obsolate but gains in politics.In future EC should make law that parties can't change their stand( as they went to people to stand after polls also).,2,0
Now no coalition till Sanjay Raut openly beg mercy from BJP.Is he a think tanker of SS?He listen half understand quarter and react double.Expel this useless.,2,0
Don't say both. Either give support to BJP or join with Congress & NCP and form government as your mouthpiece SAMNA has been saying. Else President rule will be on. There is no other way.,2,0
"This stupid man of SS is a congress spy, when will uddhav learn this.....",2,0
ShivSena should hang their shoes now and start a poultry business or something similar.,2,1
"No single Party can fool a State all the time. That''s why Maharashtra has BJP, SS, Congress & NCP.",2,0
"BJP can wait for operation Lotus, they are expert in implementing in Karntaka, Goa, Haryana..",2,6
Very good news,2,2
Shah has scared all those who support shiv sena will face relentless raids,2,0
"Shiva sena remain with BJP or not, but it has lost credibility and trust and respect.Its lose lose situation for Shivsena.It may won the battle but certainly lost the war",2,1
Even SS knows that very well.. They are trying to bend BJP by all such nonsensical statements.,2,0
"Mr. Raut, it's very simple. Take support from NCP and Congress and form government. People are watching your utterences closely.",2,0
This guy wants media limelight and paid media enjoys his company.,2,0
Looks like Maharashtra Congress leaders blunlty refused Sonias money making plan of supporting Shivasena.,2,0
Mr. Raut. Why don't you tell the whole truth that the Sena never 'Stopped' talks because it never 'Started' talks in the first place.,2,1
"Motormouth ..
..
Talking about Dharma..
..
Looking at his changing colors even chameleon will accept defeat and commit suicide.",2,0
"That's what Shiv Sena wanted since it's inception. It will be heartining to see that Mumbai, Pune, Nasik and Nagpur will be freed from dirty non Marathi people. Jai Maharashtra",2,11
"everyone in maharashtra know this guy inside out,wonder he is trying to sound a political natuonwide leader?",2,0
"Let ss form the government with Congress and ncp and let people understand how they are cheated,",2,0
The SS is playing like a child in her mother's lap. The child is always sure that mother will forgive him or her in any circumstances and hoping that sometime mother can keep her child's filthy demands.,2,0
Guess how much Mr Raut wud hv made for bad mouthing BJP till Pawar pulled the plug and switched him off,2,0
hope better sense prevails......,2,0
"Raut the man having a knife edged tongue should keep his mouth shut.to utter any thing against the BJP.
He should know whether 54 is less than. 105.
It is an irony of fate that Bala Sahib,s Shiv Sena will be disgraced by his own son Uddhav and grandson Aditaya .
Aditaya (SUN) will set out prematurely. Neither Maharashtrians nor Hindu community will forgive them for treachery.
Pawar and Sonia are bent upon to tarpedoe the ship of Shiv Sena.
It is a wake up call.",2,1
"Shameless...changing colors faster than Chameleon, following His Master''s Voice... is worse than the l@pdogs of RaGa... SS better behave or they would be history...",2,0
Someone please ask this $#@$ to just shut up ...,2,0
All SS members throw Gaddar Udhav & join with Modi,2,0
Very good.,2,0
What is shiv sena a party of theives and dacoit only knows hot to carry on extortion on poor north Indians who are daily wage earners most of their leaders if tried by e.d and income tax will land in jail,2,0
"Do not take the news seriously, after few days......BJP & SS will have joined News conference and will declare that in INTERST OF MAHARASTRA AND HINDUISM, WE HAVE COME TOGETHER TO FORM GOVERNMENT AND HAVE NO DIFFERENCE.
After all they both are hungry for power and can go down to any extent.
Shemless..... Politcian.",2,0
ShivSena should remember that whatever votes they got is because of BJP...This Gunda Party should never be trusted.,2,1
"Shiv Sena has been asking votes forever on the name of Shivaji Maharaj, Hindutva and Marathi Manus. NOw it is high time thye deliver on all these three planks otherwise even shivsena workers will loose faith in the leadership..",2,1
"Instead of making statements which are more deterimental to the Sena, and the same will be evident in the next few days. Raut should try to be more rooted to the ground and sort out the problems which he seems to be having with BJP. He has to remember the fact that people voted for the BJP-Sena combine and not to the individual parties.",2,0
The best part about BJP is they don''t talk...SS is in dilemma and BJP know that,2,0
SS never stopped talking nonsense..that''s the problem..it''s good that finally BJP realises SS true nature and divorce them,2,0
greedy for power and authority will ruin hem,2,0
Even Balasaheb Thakre didnot favour such type of politics of paltubaba.,2,0
👊POWER PUNCH👊😎 BHAQTS NEVER FORGOT...😂👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊👊✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋💜💜UNITE CONGRESS💜💜✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋,1,2
"Sir jab kundali aap hi likhanay walay ho to phir daer kis baat ki hai. Sikha do BJP ko is ka bina Sena kay chehara. Aap to manjay huay khiladi ho, 7 Nov. say pehlay Aditya Ji ko 6th. mala par bathana hai. SENA SAB JANATI HAI.",1,0
"Dear Sanjay Rautji, your party conduct is skin to Pakistan offer for talks on terrorism by continuing support on terrorism! Your unjust pre-condition for talks is the biggest stumbling block and against coalition dharma!",1,0
Yehi hona tha. Aur poonch gaya pichwada aur aage se garm hawa.,1,0
"BJP must gracefully not stake claim to power this time. They blundered once in Karnataka and that must be a well learnt lesson. Let Shiv Sena, NCP form government with Congress if they can and fall apart within 6 months.",1,0
Dump them.Dump them.They have no Dharma.NCP will propose no confidence motion they will raise hands if they have not desired portfolio.That is the secret arrangemen,1,0
"This dirty junglee politician, what does he know about ""dharma"" ? Going by past experience and current behaviour he is the dirtiest minded politician in our country now. He has something totally against Uddhat Thackeray and wants to liquidate SS as early as possible. His silly leader does not understand this. This Rout wants Uddhat to be defeated at all costs so that he himself takes over coffers and the gang for himself. All his dirty talks and actions go to prove this and Uddhat ... Read More",1,0
इसे कहते हैं उड़ता तीर अपने में डाल लेना.,1,0
Ha ha ha shiv sena jokers are falling in line putting their tails in their as$,1,2
Amit ji had promised 280 seats for BJP,1,0
Raut is Sancho Panza to Don Quixote Uddhav. What a jodi.,1,0
Better BJP should not form govt with Shiv Sena. They should tell to Shiv Sena that they are free to form govt by taking the help feom congress and NCP. People will see how much they are eager to get the power.,1,0
"When blackmailing doesn''t work, such is the excuse",1,0
B J P should break SS and get relief from greatest cheater Udhav Thakare .,1,0
Sanjay Raut behaves like the defacto leader of the party -He is talking more than Udhav Thackeray -,1,2
SS also underperformed in this election. They have no right to claim 50:50 including top post. Jaihind.,1,0
"Who is this idiot coming on news every day more than Thakare''s? SivSena is a clone to BJP with a riding to safeguard interests of Marathi''s. Now these power sharing struggle shall not cross a limit, apply give and take policy and close the deal. If Padnavi is a more administrator like Modi, this situation should not arise. Bring another leader for next elections. NCP leader is a corrupt king, it is good for Marathi;s to keep him away from Power.",1,0
"BJP shouldn't yield an inch and allow SS to go it's way with Congress or NCP. People will teach them a befitting lesson. BJP should severe their ties once and for all and ignore them totally. SS which couldn't win the seat in Bandra East, the Udhav's place, should answer and introspect what would have been their position without BJP. The paper rapped with Jasmine flower too smells good, with it's association and not without it. SS should realise.",1,0
"These guys are bringing bad name for Shiv Sena. The Dharma of SS is to fight for Hind without any position or designation. These childish and stubborn people are not leading the party in the manner Balasaheb use to lead. He always did what Shiv Sainik's asked him to do. Never wanted any CM post or anything. Yes, he always wanted to unfurl saffron flag in Maharashtra. But not in such manner like these jokers are doing today with threatening jibes everyday. Sena never asks for anything it gets it ... Read More",1,0
How can blackmailing be called Dharma?,1,1
"Would anyone in SS tell this guy to keep his mouth shut? The more he opens his mouth, he spills venom.",1,0
"Uddhav - when are you going to learn that when in Rome, do as Romans do. Yiu are a smart guy, stay with Modi and Shah, you can become bigger or they will cut you off from roots. See Chidmabram jailed shah when he was home minister. Where is Chiddu now ? Shah never forgets !!",1,1
"you have not stopped talking, but always nonsense talk",1,0
"SS should stop talking and send S.Raut to Andaman. Child leader of SS is unfit to become CM. If SS wants their Pappu to become CM then they will be considered as immature party. If SS comes out of alliance, their existence will go and all SS MLAs will join BJP. If SS join hand with Congress or NCP they will be thrown out of Maharashtra.",1,0
Sena is only exhibiting adharma !,1,1
is this still known as Coalition Dharma or coalition ......,1,0
BJP' s gobbling up its allies is the biggest problem.,1,1
ss is becoming greedy,1,0
What ever that may mean!,1,0
"BJP should clearly say that there''s no CM post for them. If they want let them form a government with the support of Congress and NCP. BJP should learn from Congress. There was a time when BJP was a juniro partner to BSP and when they called BSP''s bluff, they became party with grand majority. Same thing will happen in Maharashtra too in coming times, because Fadnavis is popular",1,0
SS deserves the CM chair. They are not Dushyant of Maharashtra,1,4
Hahaha.... Gadha kahin ka,1,0
Let BJP form Govt and divide Maharashtra in three states/ Vidharba/Marathwada/Maharashtra with Nagpur/ Pune/Mumbai as capitals. Shivsena will be wiped out of political map of India.,1,0
if sena succeeds in getting support from ncp and Congress and makes Aditya as cm then his father uddhav will be modern harishchandra since he is completing the promise given by him to father in his dream,1,0
"BJP & SS seem to be ""talking"" through TV.",1,0
Sena will follow Coalition Dharma as no one is ready to support it.,1,0
"अरे मठ्ठ माणसा, सगळे जण तुला हसत आहेत! कशाला स्वतःची मानहानी करून घेतोस?",1,0
"Sambhale jao SS, agli baar junta dauda dauda ke pitegi. Janta ne gathbandhan ko vote ye tamasha karne ke liye nahin diya. Aap kam seats laye to isme junta ka kya kasoor, lekin uske baad bhi dadagiri, blackmailing karke cm ka post mangna, ye sarasar gundagardi hai. Aap ko cm pad chahiye to sabhi mlas ko resign karwao, fresh election lado aur 145 seat Lake apna cm banwa lo. Aur han sanjay raut ji jyada bolne se koi kabil nahin ho jaata. Aap RS ke member ho, pad ki maryada ka dhyan rakho aur apni b ... Read More",1,0
BJP SHOULD NOT MAKE ANY ALLIANCE WITH SS NOW... THEY HAVE EXPOSED THEIR SKIN NOW AND THEY ARE BARE...,1,0
"mr raut if you are silent and dont use ""political sense"" SS will somehow survive .otherwise ..u r asking. for ur own.....",1,0
Shiv Sena has unique characteristics with 0% elasticity & bulking resistivity and 100% plasticity hehehehe thats why unable to malleable with congress or NCP. 😂,1,0
"Coalition dharma also has in it a cardinal rule of minding what one has to say. This guy has traditionally spoken much beyond what can be expressed by partners and has been the main reason for the ''shaky alliance'' between the parties. He lacks civility, political maturity and represents self serving individuals who have this single agenda of self gratification. A good partnership is one where, based on each others strength and capabilities, synergy is worked towards. He needs to introspect if ... Read More",1,0
"Just hypothetical rhetorical of Sanjay!
Dharm and Sharm is no more remained in today's political culture.",1,1
Sena if not adhering the coalition dharma will land itself in hell,1,0
The definition of Dharma is protean.,1,0
Who is paying attention to this cartoon ??,1,0
BJP should forego its anticipated proposal to stake claim to form Government.,1,0
LUST FOR POWER AND SYCOPHANCY BY CERTAIN PERSONS IN THE SENA WILL MAR THE SUCCESSFUL RISE OF ADITYA THACKERAY. AND THE DRAMAS OF THE LAST FEW DAYS POST ELECTION RESULTS JUST SHOWS HOW INCAPABLE ARE SOME OF THESE PERSONS TO SUCCESSFULLY LAUNCH ADITYA THACKERAY.,1,0
Who is stopping to form Govt.provided majority is to established in the floor house and Maharahtra is not Karnatka and Udbhav Thakre is not a king of whole Matrashtra. So be careful e before speaking any thing because speeches are more damaging than physical assault.,1,0
By Monday Shiv Sena will fall in place and to save face a call from thr PM will be made to allow them to state that they drop all demands after the PM''s call and he promised them to look into their demands. They will put their dignity aside and wag thir tail like a poodle. Fadnavis will come up with some bogus statement about unity etc. Bullcrap that is what all this dram is. We know the Marathi''s well.,1,1
"ITS REALLY SHAMEFUL ON THE PART OF THIS SENA PERSON WHO IS NOW ADOPTING A SOFTER STAND AFTER SHARAD PAWAR OF THE NCP, WHO THIS SENA PERSON MET A NUMBER OF TIMES, HAS CATEGORICALLY STATED THAT NCP HAS BEEN VOTED BY THE PEOPLE TO SIT IN THE OPPOSITION. WHAT DOES THIS STATEMENT OF PAWAR MEAN? IT CLEARLY MEANS A BIG NO TO TEAM UP WITH SENA. SO, NOW NEITHER THE NCP NOR THE CONG WILL SUPPORT THE SENA. AND THIS WILL MAKE THE SHIV SENA LOOK FOOLISH ALL BECAUSE OF SOME STUPID MOVES AND STATEMENTS BY THIS ... Read More",1,0
why the people were not informed before elections about the coalition terms and conditions? People assumed that they would work for the public good and not otherwise.,1,0
What is there to talk with unstable minded SANJAY RAUT and his party SS? BJP should not accept any demands of SS. let them form Govt.with NCP/Congress.If they fail then it's better to impose President rule .in that case BJP will have upper hand. and after some time call for fresh elections.,1,0
Drama .. manus,1,0
Don't back down.Opt for new election and you'll get 145 . AAP in Delhi is a example,1,0
Shivsena is hobnobbing for power Last time also after BBMP elections even though BJP got more corporates they insisted for Mayer post and BJP left it for them. Now also they are behaving like kids. If BJP contested alone they could have got Majority of their own. Shameful attitude.,1,0
Shiv Sena is slowly coming to it''s senses after all it''s blackmailing tactics against the BJP have failed miserably.The Congress and the NCP are also wary of the Shiv Sena''s lust for power just like BJP and rightly have cold shouldered it in the public interest. And now it is for the BJP to keep it''''s unworthy ally Shiv Sena under the tight leash so that the people of Maharashtra do not suffer any more.,1,0
"BJP should not talk to the corrupt, power hungry, greedy Shav Sena any more. Just impose Oresident’s rule and have fresh elections after 6 months and finish off the Shav Sena once for all",1,0
Coalition dharma or drama ?₹,1,0
Tomorrow Raut will come up with a new statement....which may contradict today''s statement....number one turncoats..,1,0
"If BJP claim to be supreme party to form the govt but not have the magic number, and the difference is quite big.
They may have more seats than other party, however it is undemocratic to form a govt when Shiva Sena other parties together emerge majority to form the government.
So failed to get the majority the votes fragmented. This is clear reflection that people have no faith BJP. I dont think it is sensible for BJP to form government.
I suggest BJP to sit in the opposition and ... Read More",1,1
Big Mouth Big Liar And An Opportunist. Just filled his pockets. Did nothing for the public and for the city. Only looted hard earned tax money of the citizens. Bunch of goons and jokers in the party. Nothing else.,1,0
There was a news item before the results were announced that Sanjay Raut was barred from issuing any statement. If the news was correct then how does he go on making running commentaries day after day. BWe assume that he might have been prompted by the leadership. But he crossed all limits and so he should keep quiet.,1,0
SS________RIP.,1,1
"Junior Thakre should do hard work and also make BJP do hard work. He is young and become CM in 5 years. Fix roads, clean maharashtra, get to remote villages, solve water problems etc. He can even become PM in 10 years. Udhav is not thinking through.",1,0
Dharma and Sanjay Raout are two faces of the same coin. His utterances have never been palatable for BJP. Demand for the post of CM just on the strength of 56 members against 105 of its coalition partner is totally unjustified. Past history of SS shows that they always have tendency to blackmail its senior partner even in allotment of seats for contest and thereafter over choice of portfolios in the cabinet.Strange that voters in Maharashtra failed to take note of this trait of SS in the Assembl ... Read More,1,0
"BJP should not fall to Shiv sena’s black mailing, let them do what they can. Going foward BJP should abstain from any alliance wirh power-greed sena who is losing its yesteryears morality & trying to bring same family members into limelight instead of looking seniority & ability within their fold.",1,0
I Sanjay Raut is taking especially the Marathi manuscript for granted as Raj thakrey was doing. he goes one thing in his paper and another thing and when thing happen I said is so. if it is the game the shiv Sena is playing then it is bad for Maharashtra. one thing is open shiv Sena is hungry for power they want to loot Maharashtra alone w one thing is sure what ever they that they love maharashtraumbai is only in paper because what we seeing for the past 15the fate of Mumbai roads. both senio ... Read More,1,0
Shivsena ki halat aise hain dhobi ka ..... na ghar ka na ghat ka,1,0
"sena tried all trucks, possibilities, abs the party which has more than double standards should never be believed. They would betray anybody. no chance must be given.stand of bob must be further strong. jeep them always at a distance. it is,an ill fated party.",1,0
"Well it all started with nativity certificate , a certificate issued saying you were in the state for X years ,next came Marathi Manus , then came in places like Taloja ,locals , not even Marathi manus , now it is in the family , next my family what next ?",1,0
Right statement: SS never stopped barking,1,1
"dont go by what's Sanjay raut says. he is the mani shankar iyer of SS.
if SS has the guts ... go ahead and form govt with ncp & congress. Poor Bal Thackeray must be churning in his grave. This is a clear case of Power Hungry",1,0
Don't know whether he will adhere to coalition dharma but is certainly following coercion Dharma.,1,1
"Dogla hai motherjaat. Aaj kuch bolta hai, kal kuch aur.",1,0
Mr Fednavis as ruled for 5 years let SS also rule for 2.5 yrs and show their contribution. Let BJP learn to Sacrifice some thing and compromise,1,12
Decide whether want to talk to coalition partner or media.,1,0
What is the point of making a coalition if the ordinary people suffer? What and when will the PMC Bank depositors get their due relief?,1,0
"If mahapappu is CM,it is dharma.Otherwise it is adhar a",1,1
Yes right,1,0
"And the newspaper is expressing its views using words like ""softening stand"" etc, which is unnecessary.",1,0
"If SS is so bad then why BJP entered into an alliance with SS? Why morons who are abusing here want BJP and SS to form the government? And most of the morons abusing here are non-marathi indicating that Marathi voters are now with SS, NCP and INA. So BJP has no option other than SS.",1,10
Cchor parties,1,0
Such non sense politicians supporting family political parties also need to be eliminated from electoral process,1,0
"PAPPU PANDAU OF IB , NIA - DONT EVEN KNOW WHAT PE-GASES IS HHEEEEEEEEEEE",1,0
He is part of problem,1,0
Then why SS cancelled meeting with BJP? Don't think we are fool.,1,0
"After NCP and Congress statement of sitting in opposition, this crook change his statements...",1,0
Good decision at last and after knowing exact value i.e. where it stands.,1,0
No alliance/combination in politics is impossible. That is the reason they say that politics is the last resort of scoundrels.,1,0
"SS is no more that SS of Bala Saheb Thakre. BJP has been giving it unnecessary credence which the SS now does not deserve. BJP should show SS its place, otherwise it would a headache always. Vande Mataram.",1,0
Shivsena - We know you are playing this drama purely to get soem portfolios in the govt but more importantly get your men in the plum posts in the various co-operatives and other money swindling setups. Please stop drama and go hold Fadnavis''s feet.,1,0
"Everybody knows what Sanjay Raut is doing. He has ambition to become CM but knows that dynastic mindset of Thackery family. Balance Thackery didn't spare raj thackery and aacted like a Dhrutrashtra. Now Uddhav is doing the same for his Pappu.
Actually Sanjay Raut is upset that he cannot become CM wants the Pappu of Shivsena to become CM. He knows very well that SS Pappu will fail miserably if he becomes CM",1,0
SS - Kitna suitcase chaiye? We all know this drama will be settled when BJP agrees to give some plum portfolios and hand over a number of suitcases as downpayment.,1,0
In case sivsena joins hands with NCO andCongress all three parties will be discarded by public at large.if ncp refuges to join hand with sivsena than there is no option with sena to agree on bjp terms.and infuture also bjp will never give due importance to ss.,1,0
Raut is taking too much of footage and denting relation of SS & BJP...some times it looks as he is a MOLE of Pawar in SS to create differences between trusted allies.,1,0
Dump the black mailers and stay calm. SS and other parties will vanish once for all. Rout is a not even worth to consider as a joker and never bother about the fools.,1,0
A party full of clowns ......a party of dynastic politics with chamchas like this spoke person.,1,1
"High time, mlas quit SS and back BJP",1,0
Has anyone seen a so called tiger wagging its tail at everyone's door step seeking a loaf of bread? That's what SS has become,1,0
"SS is the most corrupt and anarchist party. Bombay Corporation is run by SS and look the condition of Mumbai. BJP will lose it''s prestige by forming a government with thugs. Voters will not forgive BJP, if, they will not dump SS.",1,0
SS did a self goal. joining hands with Congress will be suicidal and not supporting BJP will invite President rule...,1,1
ShivSena and Shivsainiks are Vadaa Paav Chor Party. BJP must dump them once for all. hehe,1,0
Power hunger politicans doesn''t have any ethics. They need the power at any cost..,1,0
"INCREDIBLE INDIA,,,THIS IS PEGASUS DEMOCRACY OF GODHRA SPY MOTY,,,,,- FROM MRS SONI,, SAHEB WOH BAHER KHADELI HAI SNOOPING - TO NOW SNOOPING ON INDIAN MASSES,,- TERI ABCD MOTY,,,,HHEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE,,,,,",1,4
